Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000277117	-	21	+	5022531	5036771	0.000000	0.000000	0.000000
ENSG00000280071	-	21	-	5116341	5128369	0.000000	0.000000	0.000000
ENSG00000275464	-	21	-	5130871	5154658	0.000000	0.000000	0.000000
ENSG00000274559	-	21	-	5972924	5973383	313.730435	20187.249948	15964.016461
ENSG00000278903	-	21	+	6318378	6360415	0.009821	12.141611	9.601549
ENSG00000280330	CTBP2P10	21	+	7129103	7130287	1.597468	102.790428	81.286361
ENSG00000275895	-	21	-	6484623	6499248	0.000000	0.000000	0.000000
ENSG00000276076	-	21	+	6499203	6564489	0.000000	0.000000	0.000000
ENSG00000279998	-	21	+	6789592	6812297	0.000000	0.000000	0.000000
ENSG00000279177	CTBP2P9	21	-	7626344	7627528	2.213502	142.429657	112.632944
ENSG00000278996	-	21	+	8197620	8227646	0.000000	0.000000	0.000000
ENSG00000275950	MIR6724-1	21	+	8205315	8205406	0.000000	0.000000	0.000000
ENSG00000275664	-	21	+	8205851	8205940	0.000000	0.000000	0.000000
ENSG00000275708	MIR3648-1	21	+	8208473	8208652	0.000000	0.000000	0.000000
ENSG00000277437	-	21	+	8208844	8208904	0.000000	0.000000	0.000000
ENSG00000280800	-	21	-	8210384	8211306	5.368364	345.431918	273.166520
ENSG00000278233	RNA5-8SN2	21	+	8212572	8212724	0.000000	0.000000	0.000000
ENSG00000281383	-	21	-	8254592	8255514	5.294691	340.691367	269.417707
ENSG00000273590	-	21	+	7744951	7758630	0.000000	0.000000	0.000000
ENSG00000277739	5_8S_rRNA	21	+	8256781	8256933	0.601307	38.691607	30.597206
ENSG00000280441	-	21	+	8380643	8454792	0.000000	0.000000	0.000000
ENSG00000277379	MIR6724-3	21	+	8388362	8388453	0.000000	0.000000	0.000000
ENSG00000274868	-	21	+	8388898	8388987	0.000000	0.000000	0.000000
ENSG00000280614	-	21	-	8393419	8394341	4.026002	259.056501	204.861101
ENSG00000275215	RNA5-8SN3	21	+	8395607	8395759	0.000000	0.000000	0.000000
ENSG00000286267	-	21	+	8417757	8418235	0.000000	0.000000	0.000000
ENSG00000286146	-	21	+	8420675	8421003	0.000000	0.000000	0.000000
ENSG00000286054	-	21	+	8421883	8422116	0.000000	0.000000	0.000000
ENSG00000286178	-	21	+	8423760	8424071	0.000000	0.000000	0.000000
ENSG00000275692	MIR6724-4	21	+	8432530	8432621	0.000000	0.000000	0.000000
ENSG00000278775	-	21	+	8433085	8433174	0.000000	0.000000	0.000000
ENSG00000281181	-	21	-	8437629	8438551	4.742145	305.137327	241.301679
ENSG00000278189	RNA5-8SN1	21	+	8439823	8439975	0.627451	40.373865	31.927531
ENSG00000278931	-	21	+	8857260	8880976	0.000000	0.000000	0.000000
ENSG00000278932	-	21	+	9325013	9370490	0.001244	4.014666	3.174786
ENSG00000279718	SNX18P12	21	-	9364467	9365225	0.000000	0.000000	0.000000
ENSG00000279208	-	21	-	9369285	9376645	0.000000	0.000000	0.000000
ENSG00000291050	TEKT4P2	21	-	9068325	9129773	0.000000	0.000000	0.000000
ENSG00000188681	TEKT4P2	21	-	9068414	9073609	0.000000	0.000000	0.000000
ENSG00000279720	SOWAHCP2	21	-	9082601	9083101	0.000000	0.000000	0.000000
ENSG00000279381	-	21	+	9088188	9088391	0.000000	0.000000	0.000000
ENSG00000277693	-	21	-	10328411	10342737	0.000000	0.000000	0.000000
ENSG00000275945	EIF3FP1	21	+	10330732	10331537	189.303970	12180.923915	9632.637947
ENSG00000279864	NCOR1P4	21	+	9529934	9559268	0.068966	22.140504	17.508644
ENSG00000290523	-	21	+	10413477	10491615	0.000000	0.000000	0.000000
ENSG00000187172	BAGE2	21	+	10454134	10516431	0.000000	0.000000	0.000000
ENSG00000273840	-	21	+	10482738	10605716	0.000000	0.000000	0.000000
ENSG00000274391	TPTE	21	+	10521553	10606140	0.000000	0.000000	0.000000
ENSG00000278678	CYCSP41	21	+	10576292	10576587	2.702703	173.907708	137.525692
ENSG00000273872	SLC25A15P4	21	-	10612455	10613379	0.000000	0.000000	0.000000
ENSG00000228159	LINC01674	21	+	13516107	13574999	0.000000	0.000000	0.000000
ENSG00000228184	SNX19P1	21	+	13525599	13528579	3.253606	209.356027	165.558116
ENSG00000179381	OR4K11P	21	-	13544210	13545185	0.000000	0.000000	0.000000
ENSG00000286103	-	21	+	9634244	9679906	0.089758	5.775554	4.567291
